,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model,A.4 Total Costs,A.4_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,49,197.76008448143267,1.5,0.4487573647617884,63.61856183542286,1.0,0.6902410073840782,183.87206487499836,1.0,0.9384553751053303,136.28074317622503,10,0.8070512643427329,56.216296364277326,1.5,0.14548545151155493,2.5,4.5,3.5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,7,1,9,1,2,3,4,8,2,6,7,7,1,7,7,0,5,0,dikesnet,52106993.465831816,0.0,1382500000.0,0.0
1,131,81.69720535281567,1.0,0.5648348418800306,100.89862163878206,1.5,0.9908564357958397,164.52506752939524,10,0.47904065283657377,125.06893151995715,1.5,0.5135025325891162,132.50696983264925,10,0.8680929619394693,4.5,4.5,2.5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,7,1,9,1,2,3,4,8,2,6,7,7,1,7,7,0,6,0,dikesnet,52106993.465831816,0.0,1382500000.0,0.0
2,87,286.91141009105826,10,0.8332634663298649,201.2096861330823,1.5,0.3124166619156975,268.7125505035619,1.0,0.5745359734853704,145.21607831607224,10,0.19588573557891914,148.48002109939287,10,0.782925388699086,1.5,3.5,3.5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,7,1,9,1,2,3,4,8,2,6,7,7,1,7,7,0,7,0,dikesnet,52106993.465831816,0.0,1382500000.0,0.0
3,83,49.15548231523771,1.5,0.895914825906313,83.39429606494693,10,0.05893216386212414,86.08083900220595,1.0,0.6369792820615275,176.67970500240065,10,0.31496011167328436,185.2596733219479,10,0.025368919208659496,1.5,2.5,1.5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,7,1,9,1,2,3,4,8,2,6,7,7,1,7,7,0,8,0,dikesnet,52106993.465831816,0.0,1382500000.0,0.0
4,105,184.5677087630536,1.5,0.24691298148182755,131.1881508967742,10,0.2603519166758664,212.991679384977,10,0.7630501995075818,247.98265405613532,10,0.8547228033746829,40.41753533387313,1.5,0.4523198351969465,4.5,2.5,2.5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,7,1,9,1,2,3,4,8,2,6,7,7,1,7,7,0,9,0,dikesnet,52106993.465831816,0.0,1382500000.0,0.0
5,37,49.87299374346787,10,0.5412914826314309,290.25966855102763,1.0,0.9138412926145302,261.5040294296281,10,0.21537145294863344,322.4319137321049,1.0,0.65914195723171,218.31036686631452,10,0.9638562702550022,3.5,1.5,1.5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,7,1,9,1,2,3,4,8,2,6,7,7,1,7,7,0,10,0,dikesnet,52106993.465831816,0.0,1382500000.0,0.0
6,88,164.7349920428672,1.0,0.9965897600270176,181.57140003255034,1.0,0.7322027057400705,238.54641042217537,1.5,0.7061099620964648,335.84135282454906,1.0,0.5853119866376667,329.7251043056466,1.0,0.33560785358666456,1.5,1.5,3.5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,7,1,9,1,2,3,4,8,2,6,7,7,1,7,7,0,11,0,dikesnet,52106993.465831816,0.0,1382500000.0,0.0
7,99,292.1411147187251,1.0,0.7729423396763079,172.61387859571008,10,0.5196143020390472,113.4113472258893,1.5,0.2748269149696537,201.11231926532628,1.5,0.4050630979292105,143.01523326629393,10,0.25136397822380313,2.5,1.5,4.5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,7,1,9,1,2,3,4,8,2,6,7,7,1,7,7,0,12,0,dikesnet,52106993.465831816,0.0,1382500000.0,0.0
8,41,299.74069532838286,1.0,0.9869202951470613,87.81449263190768,1.0,0.943829142769009,133.63105631858843,1.0,0.43268781661717465,36.986715606356775,1.0,0.16620974896534382,67.34393169953573,1.0,0.545523653794029,4.5,3.5,2.5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,7,1,9,1,2,3,4,8,2,6,7,7,1,7,7,0,13,0,dikesnet,52106993.465831816,0.0,1382500000.0,0.0
9,53,86.32212657752162,10,0.10261175072564337,228.02156187335143,10,0.17712096127457605,48.97727145839332,1.0,0.5233058613486749,33.04935015339856,1.5,0.9614879504018996,174.6154516110278,1.5,0.8339949646818625,2.5,3.5,4.5,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,7,1,9,1,2,3,4,8,2,6,7,7,1,7,7,0,14,0,dikesnet,52106993.465831816,0.0,1382500000.0,0.0
