,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0.0,110573595.57493308,0.0,10755644.699679485,205978966.35311538,0.0022891496633350465,0.0,69113893.35624374,0.0,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,699.6039948552949
1,0.0,110573595.57493308,0.0,176834131.2792061,205978966.35311538,0.03386479631945509,0.0,69113893.35624374,0.0,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,12069.428852822508
2,0.0,110573595.57493308,0.0,30514433.39311667,205978966.35311538,0.006263943761592354,6857412.647698586,69113893.35624374,0.002293490039084037,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,2303.3516439099703
3,0.0,110573595.57493308,0.0,13096099.679567546,205978966.35311538,0.001825598411622286,46106493.28446374,69113893.35624374,0.010180192970506355,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,1891.2269061029033
4,0.0,110573595.57493308,0.0,68696668.14182957,205978966.35311538,0.007141239452519566,3814550.429542527,69113893.35624374,0.0010308658416118724,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,2401.776246769323
5,0.0,110573595.57493308,0.0,17160723.05277109,205978966.35311538,0.0018623379664582669,73928433.60556284,69113893.35624374,0.018511460465168626,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,3020.221614949416
6,0.0,110573595.57493308,0.0,5900862.833885281,205978966.35311538,0.000650846513598551,0.0,69113893.35624374,0.0,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,191.56729529928583
7,0.0,110573595.57493308,0.0,27349025.661334734,205978966.35311538,0.004676400115562823,2474819.647234042,69113893.35624374,0.0010187803257644121,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,1595.6870251101923
8,0.0,110573595.57493308,0.0,30982948.18503573,205978966.35311538,0.00642502154793333,2494290.8484954275,69113893.35624374,0.0010329052401154557,0.0,50926482.34608282,0.0,484028.31279179204,201552622.8315531,9.650651084441842e-05,935800000.0,2197.95438801103
9,0.0,110573595.57493308,0.0,11841175.7908793,205978966.35311538,0.0012931066742137742,48984377.55777186,69113893.35624374,0.013260699696415659,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,2121.921671033433
10,0.0,110573595.57493308,0.0,24810914.551540103,205978966.35311538,0.0034278686314104015,3816523.495466231,69113893.35624374,0.0010318007060442962,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,1184.336116329906
11,0.0,110573595.57493308,0.0,47066325.88874894,205978966.35311538,0.0063405729183475725,0.0,69113893.35624374,0.0,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,2020.5703548124434
12,0.0,110573595.57493308,0.0,2012423.3564483244,205978966.35311538,0.00029216363503046405,25096739.08611339,69113893.35624374,0.006696350044319103,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,940.0394985558256
13,0.0,110573595.57493308,0.0,1296559.5724328866,205978966.35311538,0.00028472488348823155,22564813.694327764,69113893.35624374,0.009126791702327958,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,1273.985739263084
14,0.0,110573595.57493308,0.0,0.0,205978966.35311538,0.0,7404535.560024394,69113893.35624374,0.0020450165180683553,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,256.3367273292478
15,0.0,110573595.57493308,0.0,76068809.29327829,205978966.35311538,0.015241765187808686,0.0,69113893.35624374,0.0,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,5070.162065833583
16,0.0,110573595.57493308,0.0,357960684.32657415,205978966.35311538,0.03465153853587072,0.0,69113893.35624374,0.0,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,12284.301635188953
17,0.0,110573595.57493308,0.0,58754632.31303312,205978966.35311538,0.009831731731363508,0.0,69113893.35624374,0.0,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,3181.64502786502
18,0.0,110573595.57493308,0.0,23950280.999810837,205978966.35311538,0.002558453864368373,18649071.534139875,69113893.35624374,0.005590233263666249,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,1508.7712971183814
19,0.0,110573595.57493308,0.0,21307508.82932145,205978966.35311538,0.002278554334315788,1209319.569977924,69113893.35624374,0.0002504182440743911,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,730.0016082721139
20,0.0,110573595.57493308,0.0,4839761.764951294,205978966.35311538,0.001045480870115518,0.0,69113893.35624374,0.0,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,313.36010923059547
21,0.0,110573595.57493308,0.0,2592146.442301433,205978966.35311538,0.0002883966591329532,745515.6113781726,69113893.35624374,0.00025202823194842006,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,115.5053677538487
22,0.0,110573595.57493308,0.0,19678235.20286918,205978966.35311538,0.0033979222635945445,8682033.981008114,69113893.35624374,0.0023287211729279924,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,1347.1052904905991
23,0.0,110573595.57493308,0.0,5915603.295894034,205978966.35311538,0.0012733318409270061,744546.510416102,69113893.35624374,0.0002514518614248891,0.0,50926482.34608282,0.0,0.0,201552622.8315531,0.0,935800000.0,415.023090701133
